Idx,A1S,A1E,A2S,A2E,A3S,A3E,A4S,A4E,A5S,A5E,A6S,A6E
1,797463617,1334354375,1058678058,1491083040,1242585684,1504859100,1382565312,1532855028,2668,19220,8280,54084
2,1123932551,1530235735,1249358858,1961624182,1402854705,1436369255,1270482325,1510438429,36408,65820,9854,20990
3,421724229,1452503997,796752748,1333927854,1341836007,1433272587,1363211161,1446097679,12553,41703,7873,42469
4,528467518,1172956716,488378054,1148903036,1456257078,1547593382,1302281507,1516798267,41808,67980,3828,28510
5,136461553,1338398929,935024645,1898757337,1059720805,1468286125,1395952311,1465742369,10989,55653,3106,40561
6,1176428074,1369080561,1322555434,1649409464,1389727699,1462007601,1390300423,1498376644,4746,69290,7700,19267
7,476407635,1141720785,43054903,1301036269,1445988403,1495764025,1347692367,1525880439,61584,66353,8405,54109
8,926204160,1411598700,339612711,1779674951,1148911372,1486124240,1402423436,1436024240,28107,73963,201,13267
9,1093183755,1511786457,681842193,1848120849,1459375591,1548217083,1319638164,1520269596,2395,35609,10378,21409
10,1280432543,1624135731,1041973643,1920147139,1046536104,1465649184,1189825909,1418186836,32373,74817,9865,32133
11,1183906057,1566219839,1071706144,1926093636,1099378339,1476217631,1325069318,1521355830,51750,78694,1393,27049
12,382857586,1788323926,514981624,1814748732,1384277566,1421507544,1274469350,1452044213,57355,79815,8811,20155
13,483872795,1146199881,249625624,1383664555,1459368502,1526003875,1379227098,1493947314,46815,77707,1473,52721
14,656058758,1842964162,1189840936,1569780766,1272665858,1451322818,1309247097,1465955313,64030,76870,7010,18715
15,617253890,1226228538,495169629,1152977981,1470343598,1510377142,1474276292,1493506525,20879,72519,4278,28780
16,181873340,1356563642,135318504,1337941707,1329895458,1522321058,1309063447,1518154655,10820,40664,10023,43329
17,51854165,1722123241,523479663,1169964003,1344948865,1525331737,1428782294,1485440358,34596,75260,8945,31581
18,410518558,1102187340,974140456,1440360478,1359852755,1486197575,1369268159,1489963736,9417,70225,9327,43050
19,363191903,1073791347,758588285,1311029175,1400901648,1536522296,1196514716,1495644908,51366,78614,1963,14677
20,499569163,1155617703,628758617,1535317754,1316050912,1519552148,1472380039,1511599005,65310,81406,3064,28052
21,126463012,1334399512,125186912,1736789792,993590596,1455060084,1355906095,1484618911,3862,36488,2141,52853
22,1280934230,1967939254,1293410695,1970434547,1400571408,1536456248,1505346096,1518362368,1056,17930,2114,40166
23,1020675618,1692084555,812163766,1343174464,1340489663,1432464781,1406527104,1537647384,7601,23166,2812,52988
24,1257404387,1610318837,1246705734,1961093554,1240413578,1438421906,1346148856,1435860296,25040,73352,407,52507
25,502272856,1484723449,398936192,1095237920,979843776,1452310720,1201336914,1496609346,51554,71879,6999,18706
26,46495208,1721051452,501327821,1156672897,1480821426,1516663838,1205276520,1497397268,43992,68853,2862,52998
27,473481195,1139964921,831148505,1354565307,1366530877,1529648141,1431436715,1542629307,49768,71164,5923,41689
28,593296268,1830411664,465060638,1804764538,1484222378,1553186442,1306093592,1517560684,1106,17970,7655,19231
29,957604657,1903273341,400287439,1096048667,1391271183,1534596203,1347211207,1525784207,3160,68976,5717,53569
30,390855921,1090389757,52411835,1722234775,1302669851,1463324414,1193715093,1495084985,34152,75172,2104,27476
31,588340871,1208880727,1088712009,1298907709,1465095354,1528294614,1375482847,1492449613,65520,73484,2477,15088
32,209033992,1367427904,494971874,1152859328,1476007226,1494891272,1345603409,1525462645,64110,72638,2354,14990
33,792220746,1600702605,1190536739,1949859755,1011952348,1458732436,1387557784,1497279586,62432,71630,9914,21038
34,1286912028,1457467725,709838177,1567749578,1195874469,1495516857,1269953775,1450237983,60653,70563,7857,19392
35,446443219,1123742135,142553603,1740263131,1426533683,1484091193,1375940714,1492632758,43094,76962,8684,54164
36,1276783912,1794527872,50364223,1721825255,1354091122,1483892923,1197061946,1421081252,40204,67339,9883,32143
37,498197594,1154794760,838209358,1879394282,1454814465,1547304857,1440957107,1518639317,8836,70108,8648,20025
38,503193543,1157792331,316386497,1410368906,1419533000,1510069673,1419196616,1540181288,6895,69723,7507,42322
39,564385473,1509568497,135645001,1338072307,1400374537,1502406289,1238735962,1504089158,10498,25484,8863,54199
40,838890594,1359210560,1253551938,1608007368,934022246,1443146414,1274382605,1511218485,58599,69331,2690,27828
41,1274406667,1966633743,666874609,1550564149,1219614660,1500264896,1243445635,1439634727,59828,80308,2533,15133
42,1253740756,1962500560,199416449,1363580885,1392937029,1534929369,1389548026,1534251570,7197,22843,6633,18413
43,1157209287,1550201777,1176410525,1947034513,1383278514,1532997666,1485489159,1536452136,1454,18249,5222,29346
44,1212265143,1768720365,1334406808,1495463549,1441679583,1518928308,1349242126,1481953324,53520,66284,526,39529
45,662924453,1844337301,494835917,1152777755,1463342668,1549010500,1243881572,1505118280,57901,68911,1980,14691
46,783091870,1325731326,407881210,1100604930,1380905685,1532523101,1205288570,1351344124,21320,72608,731,13691
